FECHA,PAÍS,ACRÓNIMO,CATEGORÍA,QUERY,NOTICIA,ESTADO,MOTIVO
19/03/2026 10:20:37,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")","Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",ACEPTADO,"score=6 | flags=positivo,verfassungsschutz,bfv | Alemania fuerte"
19/03/2026 10:20:38,ALEMANIA,BND,Seguridad estratégica,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,DESCARTADO,"score=3 | flags=positivo,bfv | Alemania ruido o contexto débil"
19/03/2026 10:20:39,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",BfV sieht «mehr Risikoappetit» bei ausländischen Angreifern - T-Online,DESCARTADO,"score=3 | flags=positivo,bfv | Alemania ruido o contexto débil"
19/03/2026 10:20:39,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",BFV-Verbandspokal der Frauen mit Münchner Stadtderby - Wochenanzeiger,DESCARTADO,"score=3 | flags=positivo,bfv | Alemania ruido o contexto débil"
19/03/2026 10:20:40,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")","""Einsatz von Verfassungsschutz"": Weimer erntet Buhrufe bei Festakt zur Buchmesse-Eröffnung - Ntv",ACEPTADO,"score=5 | flags=positivo,verfassungsschutz | Alemania fuerte"
19/03/2026 10:20:41,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",„Tag-X“-Demonstration: Aktivistin verklagt Verfassungsschutz - netzpolitik.org,ACEPTADO,"score=5 | flags=positivo,verfassungsschutz | Alemania fuerte"
19/03/2026 10:20:42,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)","Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",ACEPTADO,"score=6 | flags=positivo,verfassungsschutz,bfv | Alemania fuerte"
19/03/2026 10:20:43,ALEMANIA,BND,Seguridad estratégica,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,DESCARTADO,"score=3 | flags=positivo,bfv | Alemania ruido o contexto débil"
19/03/2026 10:20:44,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,ACEPTADO,"score=5 | flags=positivo,verfassungsschutz | Alemania fuerte"
19/03/2026 10:20:45,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",BfV sieht «mehr Risikoappetit» bei ausländischen Angreifern - T-Online,DESCARTADO,"score=3 | flags=positivo,bfv | Alemania ruido o contexto débil"
19/03/2026 10:20:45,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Gefahr für Deutschland eskaliert: Verfassungsschutz warnt vor „Tötungsoperationen“ - Express,ACEPTADO,"score=5 | flags=positivo,verfassungsschutz | Alemania fuerte"
19/03/2026 10:20:46,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Westdeutsche Zeitung,DESCARTADO,"score=3 | flags=positivo,bfv | Alemania ruido o contexto débil"
19/03/2026 10:20:47,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"") (""neuer Mann"" OR Präsident OR Praesident OR Chef OR Leitung)","Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",ACEPTADO,"score=6 | flags=positivo,verfassungsschutz,bfv | Alemania fuerte"
19/03/2026 10:20:49,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"") (""neuer Mann"" OR Präsident OR Praesident OR Chef OR Leitung)",Gefahr für Deutschland eskaliert: Verfassungsschutz warnt vor „Tötungsoperationen“ - Express,ACEPTADO,"score=5 | flags=positivo,verfassungsschutz | Alemania fuerte"
19/03/2026 10:20:50,ALEMANIA,BND,Seguridad estratégica,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesnachrichtendienst"") (Spionage OR Gegenspionage OR Geheimdienst OR Terrorismus OR Sabotage)",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,DESCARTADO,"score=3 | flags=positivo,bfv | Alemania ruido o contexto débil"
19/03/2026 10:20:51,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesnachrichtendienst"") (Spionage OR Gegenspionage OR Geheimdienst OR Terrorismus OR Sabotage)",Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,ACEPTADO,"score=5 | flags=positivo,verfassungsschutz | Alemania fuerte"
19/03/2026 10:20:52,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesnachrichtendienst"") (Spionage OR Gegenspionage OR Geheimdienst OR Terrorismus OR Sabotage)",BfV sieht «mehr Risikoappetit» bei ausländischen Angreifern - T-Online,DESCARTADO,"score=3 | flags=positivo,bfv | Alemania ruido o contexto débil"
19/03/2026 10:20:53,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"" OR ""German intelligence"" OR ""German domestic intelligence"")","Daredevil: BA/Spider-Man: BND, Buffy & Firefly: BCTV Daily Dispatch - Bleeding Cool News",ACEPTADO,"score=3 | flags=positivo,bnd | Alemania fuerte"
19/03/2026 10:20:54,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"" OR ""German intelligence"" OR ""German domestic intelligence"")",Stutsman County producers seek over $25M in aid; BND expands ag relief to $500M - KSJB AM 600,ACEPTADO,"score=3 | flags=positivo,bnd | Alemania fuerte"
19/03/2026 10:20:55,ALEMANIA,BND,Ciberinteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"" OR ""German intelligence"" OR ""German domestic intelligence"")","Germany Intel Reform March 18: BfV to Disrupt Cyberattacks, Hybrid Hub - Meyka",ACEPTADO,"score=5 | flags=positivo,ciber,radar,bfv | Alemania fuerte"
