PAÍS,ACRÓNIMO,CATEGORÍA,NOTICIA,IMPACTO,FECHA,LINK
ALEMANIA,BND,Inteligencia,"Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",MEDIO,19/03 9:19,https://news.google.com/rss/articles/CBMivwFBVV95cUxQTjZueGhIbUI5UU52QUxOZGJEbUduZGNIWS1XRHVzcFJ6a0p5WkkyV3IzcVdKZkNBc3hFeHAyVm03d3FfYnpFY3BtZXpDbFllRmZBOGE2d2p6ckktcEcyM1hmOVVEeEpoRDJNUURnTDBkeGFZUTZwUkRLUVJDdk1IQXFGdUU5UzZ6SUFiZzdKZjJxYWxLYVJCdTMwYkRWZDNvUk1uc25XSGxGbl9kX1FoUlNWaDh2VVNzaDd0amxiUQ?oc=5
ALEMANIA,BND,Inteligencia,"""Einsatz von Verfassungsschutz"": Weimer erntet Buhrufe bei Festakt zur Buchmesse-Eröffnung - Ntv",MEDIO,18/03 17:12,https://news.google.com/rss/articles/CBMipAFBVV95cUxQSFhNNUJNT1B1N3hySWdzbkxlUHBlbWVKVnMyU0l4c3VjNjh4UlhEdHZqVFUxamxwWDh6eUlKemdsVUhCajI5UUZfWFpqNk9idTlJZkwxS1ZjNjhCZUdiQ3hHYjg1S0hIRHk3RmN2LWFWd1Jwd2E1bVRYV1M0MTVjQzF1VEpPZHBxdXFkS3JDSW9qclFxNnBoaHNial9DN3BsSmNfNA?oc=5
ALEMANIA,BND,Inteligencia,„Tag-X“-Demonstration: Aktivistin verklagt Verfassungsschutz - netzpolitik.org,MEDIO,18/03 12:07,https://news.google.com/rss/articles/CBMikAFBVV95cUxQajNTNjU3N2hCZy1hUjItTEM5TXRRUG5kVFI5LVRQcDdBSE1oWlZjS3A5RDBweVNvdi1uNkZWWVZjYUtodV81N2dPUTRCSTN0YjQ3NUstMTlWSWlBRW1XT3JORENpMlRHbWhNMDZzUE5Ia0VRTEdqTG4xZ00yNlBqaHp4eElQRnFvbFFKV0R1dzA?oc=5
ALEMANIA,BND,Inteligencia,Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,MEDIO,19/03 9:14,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNWmFGakJhY0t3eWpqLVQzVjZLdWxGUERXQVRfWkRuWGFjT2J5MVVzX25GVVRzYXctX1F1QktPd1o5MWN1SGtETHVjaVM4M1NubkstTFJveFJ2a0VfTEd5cUNXS0Q0UEFucGdCdm9zYTMxR2xqeEVPXzNYRjM3LTlKcjRSeVgzUWhfX2szazRRN1NKNzVhM2lXSV9NcHU2ZDRTdXlkQzk4bXNyc3RvcThNQmkxVEw5dE9vUjR5elB5UU5HNFlQSEZ1dVM2SjBONVUxanhrUGxyYXBVUFo0aFJUVQ?oc=5
ALEMANIA,BND,Inteligencia,Gefahr für Deutschland eskaliert: Verfassungsschutz warnt vor „Tötungsoperationen“ - Express,MEDIO,19/03 7:40,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPQ2h6UDhld21JV21TbUZCODVTNFEwYl9rc1I3bUVGeDItTE10U2FvZW5MSUs5OHByRDcwcmFiQXFSYzFiSmd1MVlLTDFDUTNPWG5rdGxPSmFzcWdFY25TZGZkMTBaMjBoVVNjTVdPVS1JYU9XNkw3T2k4c0RrWnRUNW51RGVpeThKaVQ4OFdhR3E1T0E4VzNkY21fTXJleTlGS2VBQ2RVLVdKZ3JiTHh4ZDl5SE9mc2VkNzZPc205OEhCZXExbmx3ZVZQSVkxZks2eHRoSlktMnd0YkFyV21IaE5KdkZQZWxGT0E?oc=5
ALEMANIA,BND,Inteligencia,"Daredevil: BA/Spider-Man: BND, Buffy & Firefly: BCTV Daily Dispatch - Bleeding Cool News",MEDIO,19/03 8:37,https://news.google.com/rss/articles/CBMilAFBVV95cUxQeUt6YWpZZk05UG8zT1NNNndyUHBTVkRTdFB3Nzdvcm9qVTQtb3VndVJqWkVmLThxQlptdHA3bk84aDhiSGx3UG44dzdyXzRpT1V1MC1JNy11dDdNb1UyUi1jMnNZNWNlNkdid0I3Z0t1anFaWjJKUTJXWnhtcEtFMkFTZjdvYmdDcHhURUVTZjgxckN2?oc=5
ALEMANIA,BND,Inteligencia,Stutsman County producers seek over $25M in aid; BND expands ag relief to $500M - KSJB AM 600,MEDIO,18/03 12:12,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1XV3pBb1pRa0Zpc19jNVc5UlIyVjI2UERubGdrb2t5UDFCQ3lFM3ZPNE9GZ2tKUDctLXBZMHZqcFl2emtIZzVFZWZ3VTdFcFVULVE?oc=5
ALEMANIA,BND,Ciberinteligencia,"Germany Intel Reform March 18: BfV to Disrupt Cyberattacks, Hybrid Hub - Meyka",ALTO,18/03 1:18,https://news.google.com/rss/articles/CBMingFBVV95cUxOeENKaUlCWFhEZnhGVkVCMVU2RTNVYkNIRGZ2R3pIR1FVekVPZzMzT3Ntb2d1cEpoSzY5X085NVVwQXlrc2Ezc2czdXBvNkFKTER3cncyVUNPMkQ3RmdPeGI4Z1I5WWR6Nzk2YWJlVmZoMk52TXNtWGxTaVBINEtkWW5Qa0lGeVZLd3pmbWtvSnRtZ0ZxY1U4Unp2VUdvUQ?oc=5
ALEMANIA,BND,Ciberinteligencia,"France, Germany, Russia High-ranking BND official falls victim to Russian phishing campaign on Signal and WhatsApp - Intelligence Online",MEDIO,18/03 2:02,https://news.google.com/rss/articles/CBMi9wFBVV95cUxQZkJYaGxwTWdjQmNueXB2N2x2LWtma0JvMXFXM1ZpZExKd0kyS3Zvb3BtbnV4MGFaTjRTaW9lc2dxLXVBU2xCMFdqbVdtREgzaGFGb1Z1bzBfa3h1MzREaFpULU1XcUNZczNURjdFSlpKSnItX3JlYmVIMjlKM1Y2YWp6YkYxSzJWMU55d2xkNGgwM180MlVtV2g5d0dNLUNRNDBWYkgzY0E1VWNzc1ljMDlsX3hEUXVyc0NGMWVmNjhvM09oLXFQSTJGNGVEMWRuYWJDZ051SHJBalFtLVFIZXBNVHp3d282ajBfS1ozOG4tUE5uTG9N?oc=5
ALEMANIA,BFV,Seguridad estratégica,Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,ALTO,19/03 8:23,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQTHZNVG5sOW9sakZGdE9DbVhKcjBhRVdJNXpZdzVZeUZfTkhfeHhPTjJwcGdrSnJhVFF1ZTlvRUxMMnhGLTdiSGZZVlg3anNNWjFJYUVKWDFaMTFlRW1VSEdqdmctRVJaRGF1NEVBSnZCRUxtWXo5UU5JMHlheUFhNEszRklVMnZRQVM1RkRNd2s3ZFA5ZWxLRHpMVTdWN3Z3dkV3VU1qNUpDdEVSTFhYNndERnRYRWpoU1E3SURlaTZhdUlES3Uycw?oc=5
